EMPLOYEE_ID,FIRST_NAME,YEAR(HIRE_DATE)
100,Steven,1987
101,Neena,1987
102,Lex,1987
103,Alexander,1987
104,Bruce,1987
105,David,1987
106,Valli,1987
107,Diana,1987
108,Nancy,1987
109,Daniel,1987
110,John,1987
111,Ismael,1987
112,"Jose Manuel",1987
113,Luis,1987
114,Den,1987
115,Alexander,1987
116,Shelli,1987
117,Sigal,1987
118,Guy,1987
119,Karen,1987
120,Matthew,1987
121,Adam,1987
122,Payam,1987
123,Shanta,1987
124,Kevin,1987
125,Julia,1987
126,Irene,1987
127,James,1987
128,Steven,1987
129,Laura,1987
130,Mozhe,1987
131,James,1987
132,TJ,1987
133,Jason,1987
134,Michael,1987
135,Ki,1987
136,Hazel,1987
137,Renske,1987
138,Stephen,1987
139,John,1987
140,Joshua,1987
141,Trenna,1987
142,Curtis,1987
143,Randall,1987
144,Peter,1987
145,John,1987
146,Karen,1987
147,Alberto,1987
148,Gerald,1987
149,Eleni,1987
150,Peter,1987
151,David,1987
152,Peter,1987
153,Christopher,1987
154,Nanette,1987
155,Oliver,1987
156,Janette,1987
157,Patrick,1987
158,Allan,1987
159,Lindsey,1987
160,Louise,1987
161,Sarath,1987
162,Clara,1987
163,Danielle,1987
164,Mattea,1987
165,David,1987
166,Sundar,1987
167,Amit,1987
168,Lisa,1987
169,Harrison,1987
170,Tayler,1987
171,William,1987
172,Elizabeth,1987
173,Sundita,1987
174,Ellen,1987
175,Alyssa,1987
176,Jonathon,1987
177,Jack,1987
178,Kimberely,1987
179,Charles,1987
180,Winston,1987
181,Jean,1987
182,Martha,1987
183,Girard,1987
184,Nandita,1987
185,Alexis,1987
186,Julia,1987
187,Anthony,1987
188,Kelly,1987
189,Jennifer,1987
190,Timothy,1987
191,Randall,1987
192,Sarah,1987
193,Britney,1987
194,Samuel,1987
195,Vance,1987
196,Alana,1987
197,Kevin,1987
198,Donald,1987
199,Douglas,1987
200,Jennifer,1987
201,Michael,1987
202,Pat,1987
203,Susan,1987
204,Hermann,1987
205,Shelley,1987
206,William,1987
