customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
37,1,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
38,1,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
39,1,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
41,1,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
44,1,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
45,1,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
47,1,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
48,1,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
50,1,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
51,1,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
52,1,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
53,1,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,57,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
54,1,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
56,1,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,60,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
58,1,JEAN,BELL,JEAN.BELL@sakilacustomer.org,62,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
59,1,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,63,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
60,1,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,64,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
62,1,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,66,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
63,1,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
67,1,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,71,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
68,1,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,72,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
71,1,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,75,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
74,1,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,78,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
78,1,LORI,WOOD,LORI.WOOD@sakilacustomer.org,82,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
79,1,RACHEL,BARNES,RACHEL.BARNES@sakilacustomer.org,83,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
80,1,MARILYN,ROSS,MARILYN.ROSS@sakilacustomer.org,84,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
81,1,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,85,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
82,1,KATHRYN,COLEMAN,KATHRYN.COLEMAN@sakilacustomer.org,86,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
83,1,LOUISE,JENKINS,LOUISE.JENKINS@sakilacustomer.org,87,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
87,1,WANDA,PATTERSON,WANDA.PATTERSON@sakilacustomer.org,91,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
89,1,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,93,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
93,1,PHYLLIS,FOSTER,PHYLLIS.FOSTER@sakilacustomer.org,97,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
94,1,NORMA,GONZALES,NORMA.GONZALES@sakilacustomer.org,98,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
96,1,DIANA,ALEXANDER,DIANA.ALEXANDER@sakilacustomer.org,100,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
98,1,LILLIAN,GRIFFIN,LILLIAN.GRIFFIN@sakilacustomer.org,102,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
100,1,ROBIN,HAYES,ROBIN.HAYES@sakilacustomer.org,104,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
